system;query;lda;selected-ir;R-rank;M-R-rank
Eclipse;12118;118;lda;0.0084745763;
Eclipse;13069;1716;lda;0.0005827506;
Eclipse;13926;2337;lda;0.000427899;
Eclipse;15277;2147483647;lda;4.6566128752458E-010;
Eclipse;16787;7381;lda;0.000135483;
Eclipse;17707;268;lda;0.0037313433;
Eclipse;18761;1224;lda;0.0008169935;
Eclipse;19307;1241;lda;0.0008058018;
Eclipse;19686;14160;lda;7.06214689265537E-005;
Eclipse;19691;2147483647;lda;4.6566128752458E-010;
Eclipse;19976;1147;lda;0.0008718396;
Eclipse;21062;10516;lda;9.5093191327501E-005;
Eclipse;22696;2147483647;lda;4.6566128752458E-010;
Eclipse;22809;6828;lda;0.0001464558;
Eclipse;23140;2147483647;lda;4.6566128752458E-010;
Eclipse;30644;2147483647;lda;4.6566128752458E-010;
Eclipse;31779;1098;lda;0.0009107468;0.0010040945
Lucene;1;2147483647;lda;4.6566128752458E-010;
Lucene;2;11060;lda;9.04159132007233E-005;
Lucene;3;2147483647;lda;4.6566128752458E-010;
Lucene;4;5751;lda;0.0001738828;
Lucene;5;1843;lda;0.0005425936;
Lucene;6;5751;lda;0.0001738828;
Lucene;7;1527;lda;0.0006548788;
Lucene;8;318;lda;0.0031446541;
Lucene;9;443;lda;0.0022573363;
Lucene;10;4456;lda;0.0002244165;
Lucene;11;1474;lda;0.0006784261;
Lucene;12;6252;lda;0.0001599488;
Lucene;13;242;lda;0.0041322314;
Lucene;14;264;lda;0.0037878788;
Lucene;15;854;lda;0.0011709602;
Lucene;16;2124;lda;0.0004708098;
Lucene;17;1161;lda;0.0008613264;
Lucene;18;2485;lda;0.0004024145;
Lucene;19;1079;lda;0.0009267841;
Lucene;20;651;lda;0.0015360983;
Lucene;21;997;lda;0.001003009;
Lucene;24;17;lda;0.0588235294;
Lucene;25;14;lda;0.0714285714;
Lucene;26;14;lda;0.0714285714;
Lucene;27;10154;lda;9.84833563127831E-005;
Lucene;28;6397;lda;0.0001563233;
Lucene;29;10116;lda;9.88533017002768E-005;
Lucene;30;759;lda;0.0013175231;
Lucene;31;213;lda;0.0046948357;
Lucene;32;713;lda;0.0014025245;
Lucene;33;37;lda;0.027027027;
Lucene;34;66;lda;0.0151515152;
Lucene;35;62;lda;0.0161290323;
Lucene;36;1122;lda;0.0008912656;
Lucene;37;3209;lda;0.0003116236;
Lucene;38;1122;lda;0.0008912656;
Lucene;39;3643;lda;0.000274499;
Lucene;40;10810;lda;9.25069380203515E-005;
Lucene;41;7878;lda;0.0001269358;
Lucene;42;142;lda;0.0070422535;
Lucene;43;142;lda;0.0070422535;
Lucene;44;142;lda;0.0070422535;
Lucene;45;610;lda;0.0016393443;
Lucene;46;51;lda;0.0196078431;
Lucene;47;564;lda;0.0017730496;
Lucene;48;597;lda;0.0016750419;
Lucene;49;285;lda;0.0035087719;
Lucene;50;744;lda;0.001344086;
Lucene;51;139;lda;0.0071942446;
Lucene;52;1806;lda;0.0005537099;
Lucene;53;136;lda;0.0073529412;
Lucene;54;1446;lda;0.0006915629;
Lucene;55;587;lda;0.0017035775;
Lucene;56;612;lda;0.0016339869;
Lucene;57;1097;lda;0.000911577;
Lucene;58;1281;lda;0.0007806401;
Lucene;59;689;lda;0.0014513788;
Lucene;60;2147483647;lda;4.6566128752458E-010;
Lucene;61;2147483647;lda;4.6566128752458E-010;
Lucene;62;2147483647;lda;4.6566128752458E-010;
Lucene;63;1177;lda;0.0008496177;
Lucene;64;1081;lda;0.0009250694;
Lucene;65;191;lda;0.0052356021;
Lucene;66;2147483647;lda;4.6566128752458E-010;
Lucene;67;1714;lda;0.0005834306;
Lucene;68;534;lda;0.0018726592;
Lucene;69;11;lda;0.0909090909;
Lucene;70;10;lda;0.1;
Lucene;71;13;lda;0.0769230769;
Lucene;72;2147483647;lda;4.6566128752458E-010;
Lucene;73;15993;lda;6.25273557181267E-005;
Lucene;74;2147483647;lda;4.6566128752458E-010;
Lucene;75;32;lda;0.03125;
Lucene;76;45;lda;0.0222222222;
Lucene;77;75;lda;0.0133333333;
Lucene;78;79;lda;0.0126582278;
Lucene;79;79;lda;0.0126582278;
Lucene;80;92;lda;0.0108695652;
Lucene;81;2147483647;lda;4.6566128752458E-010;
Lucene;82;3113;lda;0.0003212335;
Lucene;83;936;lda;0.0010683761;
Lucene;84;592;lda;0.0016891892;
Lucene;85;928;lda;0.0010775862;
Lucene;86;8045;lda;0.0001243008;
Lucene;87;8069;lda;0.0001239311;
Lucene;88;8037;lda;0.0001244245;
Lucene;89;3542;lda;0.0002823264;
Lucene;90;7862;lda;0.0001271941;
Lucene;91;2147483647;lda;4.6566128752458E-010;
Lucene;92;818;lda;0.0012224939;
Lucene;93;401;lda;0.0024937656;
Lucene;94;66;lda;0.0151515152;0.0083678733
JMeter;41788;2147483647;lda;4.6566128752458E-010;
JMeter;42538;2147483647;lda;4.6566128752458E-010;
JMeter;43294;2147483647;lda;4.6566128752458E-010;
JMeter;46921;227;lda;0.0044052863;
JMeter;50799;2147483647;lda;4.6566128752458E-010;
JMeter;51988;3781;lda;0.0002644803;
JMeter;52003;10;lda;0.1;
JMeter;52022;49;lda;0.0204081633;
JMeter;52033;16;lda;0.0625;
JMeter;52040;292;lda;0.0034246575;
JMeter;52097;4;lda;0.25;
JMeter;52099;2147483647;lda;4.6566128752458E-010;
JMeter;52103;284;lda;0.0035211268;
JMeter;52125;207;lda;0.0048309179;
JMeter;52129;183;lda;0.0054644809;0.0303212744
JEdit;1;423;lda;0.0023640662;
JEdit;2;2147483647;lda;4.6566128752458E-010;
JEdit;3;114;lda;0.0087719298;
JEdit;4;283;lda;0.0035335689;
JEdit;5;81;lda;0.012345679;
JEdit;6;2147483647;lda;4.6566128752458E-010;
JEdit;7;2147483647;lda;4.6566128752458E-010;
JEdit;8;216;lda;0.0046296296;
JEdit;9;2;lda;0.5;
JEdit;10;66;lda;0.0151515152;
JEdit;11;419;lda;0.0023866348;
JEdit;12;357;lda;0.0028011204;
JEdit;13;116;lda;0.0086206897;
JEdit;14;2147483647;lda;4.6566128752458E-010;
JEdit;15;46;lda;0.0217391304;
JEdit;16;19;lda;0.0526315789;
JEdit;17;216;lda;0.0046296296;
JEdit;18;61;lda;0.0163934426;0.0364443676
WinMerge;1;35;lda;0.0285714286;
WinMerge;2;2085;lda;0.0004796163;
WinMerge;3;182;lda;0.0054945055;
WinMerge;4;678;lda;0.0014749263;
WinMerge;5;320;lda;0.003125;
WinMerge;6;695;lda;0.0014388489;
WinMerge;7;821;lda;0.0012180268;
WinMerge;8;544;lda;0.0018382353;
WinMerge;9;252;lda;0.003968254;
WinMerge;10;154;lda;0.0064935065;
WinMerge;11;2147483647;lda;4.6566128752458E-010;
WinMerge;12;2147483647;lda;4.6566128752458E-010;
WinMerge;13;493;lda;0.0020283976;
WinMerge;14;106;lda;0.0094339623;
WinMerge;15;2147483647;lda;4.6566128752458E-010;
WinMerge;16;2147483647;lda;4.6566128752458E-010;
WinMerge;17;1235;lda;0.0008097166;
WinMerge;18;555;lda;0.0018018018;
WinMerge;19;445;lda;0.002247191;
WinMerge;20;237;lda;0.0042194093;
WinMerge;21;2;lda;0.5;
WinMerge;22;623;lda;0.0016051364;
WinMerge;23;52;lda;0.0192307692;0.0258903797
OpenJPA;1;30;lda;0.0333333333;
OpenJPA;2;90;lda;0.0111111111;
OpenJPA;3;2147483647;lda;4.6566128752458E-010;
OpenJPA;4;5810;lda;0.000172117;
OpenJPA;5;4936;lda;0.0002025932;
OpenJPA;6;2147483647;lda;4.6566128752458E-010;
OpenJPA;7;829;lda;0.0012062726;
OpenJPA;8;11299;lda;8.85034073811842E-005;
OpenJPA;9;317;lda;0.0031545741;
OpenJPA;10;2147483647;lda;4.6566128752458E-010;
OpenJPA;11;21273;lda;4.70079443425939E-005;
OpenJPA;12;2147483647;lda;4.6566128752458E-010;
OpenJPA;13;239;lda;0.0041841004;
OpenJPA;14;198;lda;0.0050505051;
OpenJPA;15;221;lda;0.0045248869;
OpenJPA;16;2147483647;lda;4.6566128752458E-010;
OpenJPA;17;12031;lda;8.31186102568365E-005;
OpenJPA;18;2147483647;lda;4.6566128752458E-010;
OpenJPA;19;3931;lda;0.0002543882;
OpenJPA;20;1189;lda;0.0008410429;
OpenJPA;21;1074;lda;0.0009310987;
OpenJPA;22;5148;lda;0.0001942502;
OpenJPA;23;4731;lda;0.0002113718;
OpenJPA;24;1461;lda;0.0006844627;
OpenJPA;25;142;lda;0.0070422535;
OpenJPA;26;75;lda;0.0133333333;
OpenJPA;27;137;lda;0.0072992701;
OpenJPA;28;6808;lda;0.000146886;
OpenJPA;29;2147483647;lda;4.6566128752458E-010;
OpenJPA;30;4888;lda;0.0002045827;
OpenJPA;31;2147483647;lda;4.6566128752458E-010;
OpenJPA;32;23598;lda;4.23764725824222E-005;
OpenJPA;33;2147483647;lda;4.6566128752458E-010;
OpenJPA;34;67;lda;0.0149253731;
OpenJPA;35;258;lda;0.003875969;
OpenJPA;36;2147483647;lda;4.6566128752458E-010;
OpenJPA;37;33;lda;0.0303030303;
OpenJPA;38;2653;lda;0.0003769318;
OpenJPA;39;126;lda;0.0079365079;
OpenJPA;40;319;lda;0.0031347962;
OpenJPA;41;606;lda;0.001650165;
OpenJPA;42;470;lda;0.0021276596;
OpenJPA;43;4372;lda;0.0002287283;
OpenJPA;44;2636;lda;0.0003793627;
OpenJPA;45;4047;lda;0.0002470966;
OpenJPA;46;1878;lda;0.0005324814;
OpenJPA;47;2164;lda;0.0004621072;
OpenJPA;48;1182;lda;0.0008460237;
OpenJPA;49;10932;lda;9.14745700695207E-005;
OpenJPA;50;736;lda;0.0013586957;
OpenJPA;51;4941;lda;0.0002023882;
OpenJPA;52;96;lda;0.0104166667;
OpenJPA;53;60;lda;0.0166666667;
OpenJPA;54;70;lda;0.0142857143;
OpenJPA;55;2147483647;lda;4.6566128752458E-010;
OpenJPA;56;3067;lda;0.0003260515;
OpenJPA;57;939;lda;0.0010649627;
