system;query;lda;selected-ir;R-Rank;M-R-Rank
Eclipse;12118;841;lda;0.0011890606;
Eclipse;13069;1132;lda;0.0008833922;
Eclipse;13926;2151;lda;0.0004649;
Eclipse;15277;2147483647;lda;4.6566128752458E-010;
Eclipse;16787;4386;lda;0.0002279982;
Eclipse;17707;409;lda;0.0024449878;
Eclipse;18761;4215;lda;0.0002372479;
Eclipse;19307;305;lda;0.0032786885;
Eclipse;19686;15948;lda;6.27037873087534E-005;
Eclipse;19691;2147483647;lda;4.6566128752458E-010;
Eclipse;19976;1095;lda;0.000913242;
Eclipse;21062;6974;lda;0.0001433897;
Eclipse;22696;2147483647;lda;4.6566128752458E-010;
Eclipse;22809;2147483647;lda;4.6566128752458E-010;
Eclipse;23140;2147483647;lda;4.6566128752458E-010;
Eclipse;30644;5255;lda;0.000190295;
Eclipse;31779;2898;lda;0.0003450656;0.0006106455
Lucene;1;2147483647;lda;4.6566128752458E-010;
Lucene;2;15515;lda;6.44537544311956E-005;
Lucene;3;2147483647;lda;4.6566128752458E-010;
Lucene;4;4112;lda;0.0002431907;
Lucene;5;1900;lda;0.0005263158;
Lucene;6;4111;lda;0.0002432498;
Lucene;7;1861;lda;0.0005373455;
Lucene;8;934;lda;0.0010706638;
Lucene;9;2147483647;lda;4.6566128752458E-010;
Lucene;10;11155;lda;8.96458987001345E-005;
Lucene;11;2961;lda;0.0003377237;
Lucene;12;10811;lda;9.24983812783276E-005;
Lucene;13;1116;lda;0.0008960573;
Lucene;14;571;lda;0.0017513135;
Lucene;15;2267;lda;0.0004411116;
Lucene;16;2146;lda;0.0004659832;
Lucene;17;1411;lda;0.0007087172;
Lucene;18;2533;lda;0.0003947888;
Lucene;19;1339;lda;0.000746826;
Lucene;20;859;lda;0.0011641444;
Lucene;21;1266;lda;0.0007898894;
Lucene;24;48;lda;0.0208333333;
Lucene;25;33;lda;0.0303030303;
Lucene;26;31;lda;0.0322580645;
Lucene;27;2147483647;lda;4.6566128752458E-010;
Lucene;28;3695;lda;0.000270636;
Lucene;29;2147483647;lda;4.6566128752458E-010;
Lucene;30;1484;lda;0.0006738544;
Lucene;31;419;lda;0.0023866348;
Lucene;32;760;lda;0.0013157895;
Lucene;33;35;lda;0.0285714286;
Lucene;34;55;lda;0.0181818182;
Lucene;35;53;lda;0.0188679245;
Lucene;36;1398;lda;0.0007153076;
Lucene;37;2584;lda;0.0003869969;
Lucene;38;1396;lda;0.0007163324;
Lucene;39;3603;lda;0.0002775465;
Lucene;40;11175;lda;8.94854586129754E-005;
Lucene;41;9042;lda;0.000110595;
Lucene;42;184;lda;0.0054347826;
Lucene;43;205;lda;0.0048780488;
Lucene;44;184;lda;0.0054347826;
Lucene;45;610;lda;0.0016393443;
Lucene;46;41;lda;0.0243902439;
Lucene;47;539;lda;0.0018552876;
Lucene;48;464;lda;0.0021551724;
Lucene;49;173;lda;0.0057803468;
Lucene;50;706;lda;0.0014164306;
Lucene;51;1240;lda;0.0008064516;
Lucene;52;2147483647;lda;4.6566128752458E-010;
Lucene;53;1186;lda;0.0008431703;
Lucene;54;1097;lda;0.000911577;
Lucene;55;384;lda;0.0026041667;
Lucene;56;387;lda;0.0025839793;
Lucene;57;1180;lda;0.0008474576;
Lucene;58;1147;lda;0.0008718396;
Lucene;59;676;lda;0.0014792899;
Lucene;60;2147483647;lda;4.6566128752458E-010;
Lucene;61;2147483647;lda;4.6566128752458E-010;
Lucene;62;2147483647;lda;4.6566128752458E-010;
Lucene;63;842;lda;0.0011876485;
Lucene;64;1010;lda;0.000990099;
Lucene;65;165;lda;0.0060606061;
Lucene;66;1049;lda;0.0009532888;
Lucene;67;2145;lda;0.0004662005;
Lucene;68;302;lda;0.0033112583;
Lucene;69;17;lda;0.0588235294;
Lucene;70;13;lda;0.0769230769;
Lucene;71;18;lda;0.0555555556;
Lucene;72;4703;lda;0.0002126302;
Lucene;73;5812;lda;0.0001720578;
Lucene;74;4702;lda;0.0002126755;
Lucene;75;91;lda;0.010989011;
Lucene;76;124;lda;0.0080645161;
Lucene;77;631;lda;0.0015847861;
Lucene;78;129;lda;0.007751938;
Lucene;79;129;lda;0.007751938;
Lucene;80;193;lda;0.0051813472;
Lucene;81;4996;lda;0.0002001601;
Lucene;82;1478;lda;0.00067659;
Lucene;83;2185;lda;0.0004576659;
Lucene;84;1640;lda;0.0006097561;
Lucene;85;2283;lda;0.0004380201;
Lucene;86;8872;lda;0.0001127142;
Lucene;87;6332;lda;0.000157928;
Lucene;88;7555;lda;0.0001323627;
Lucene;89;4797;lda;0.0002084636;
Lucene;90;4814;lda;0.0002077275;
Lucene;91;2147483647;lda;4.6566128752458E-010;
Lucene;92;640;lda;0.0015625;
Lucene;93;324;lda;0.0030864198;
Lucene;94;53;lda;0.0188679245;0.0054713638
JMeter;41788;2147483647;lda;4.6566128752458E-010;
JMeter;42538;2147483647;lda;4.6566128752458E-010;
JMeter;43294;314;lda;0.0031847134;
JMeter;46921;263;lda;0.0038022814;
JMeter;50799;2830;lda;0.0003533569;
JMeter;51988;2147483647;lda;4.6566128752458E-010;
JMeter;52003;24;lda;0.0416666667;
JMeter;52022;33;lda;0.0303030303;
JMeter;52033;33;lda;0.0303030303;
JMeter;52040;2147483647;lda;4.6566128752458E-010;
JMeter;52097;8;lda;0.125;
JMeter;52099;619;lda;0.0016155089;
JMeter;52103;321;lda;0.0031152648;
JMeter;52125;2147483647;lda;4.6566128752458E-010;
JMeter;52129;40;lda;0.025;0.0176229237
JEdit;1;477;lda;0.0020964361;
JEdit;2;2147483647;lda;4.6566128752458E-010;
JEdit;3;93;lda;0.0107526882;
JEdit;4;181;lda;0.0055248619;
JEdit;5;339;lda;0.0029498525;
JEdit;6;2147483647;lda;4.6566128752458E-010;
JEdit;7;2147483647;lda;4.6566128752458E-010;
JEdit;8;172;lda;0.0058139535;
JEdit;9;3;lda;0.3333333333;
JEdit;10;56;lda;0.0178571429;
JEdit;11;519;lda;0.0019267823;
JEdit;12;156;lda;0.0064102564;
JEdit;13;125;lda;0.008;
JEdit;14;2147483647;lda;4.6566128752458E-010;
JEdit;15;51;lda;0.0196078431;
JEdit;16;39;lda;0.0256410256;
JEdit;17;406;lda;0.0024630542;
JEdit;18;89;lda;0.0112359551;0.0252007326
WinMerge;1;126;lda;0.0079365079;
WinMerge;2;2147483647;lda;4.6566128752458E-010;
WinMerge;3;485;lda;0.0020618557;
WinMerge;4;66;lda;0.0151515152;
WinMerge;5;311;lda;0.0032154341;
WinMerge;6;1267;lda;0.000789266;
WinMerge;7;1389;lda;0.0007199424;
WinMerge;8;259;lda;0.0038610039;
WinMerge;9;512;lda;0.001953125;
WinMerge;10;205;lda;0.0048780488;
WinMerge;11;2147483647;lda;4.6566128752458E-010;
WinMerge;12;2147483647;lda;4.6566128752458E-010;
WinMerge;13;648;lda;0.0015432099;
WinMerge;14;214;lda;0.0046728972;
WinMerge;15;2147483647;lda;4.6566128752458E-010;
WinMerge;16;2147483647;lda;4.6566128752458E-010;
