system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;1;204;index;0.0049019608;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;2;4275;index;0.0002339181;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;3;5224;index;0.0001914242;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;4;5655;index;0.0001768347;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;5;5386;index;0.0001856665;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;6;6294;index;0.0001588815;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;7;2193;index;0.0004559964;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;8;15171;index;6.59152330103487E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;9;1202;index;0.0008319468;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;10;16385;index;6.10314311870613E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;11;23769;index;4.20716058731962E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;12;32842;index;3.04488155410754E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;13;129;index;0.007751938;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;14;15;index;0.0666666667;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;15;129;index;0.007751938;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;16;7568;index;0.0001321353;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;17;2452;index;0.0004078303;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;18;2296;index;0.0004355401;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;19;6461;index;0.0001547748;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;20;7077;index;0.0001413028;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\OpenJPA;21;2695;index;0.0003710575;
